index,date,symbol,price
118735,2011-01-04,DLR,52.299999
118736,2011-01-04,DLTR,56.490002000000004
118737,2011-01-04,DNB,81.139999
118738,2011-01-04,DOV,59.330003000000005
118739,2011-01-04,DOW,35.0
118740,2011-01-04,DPS,35.5
118741,2011-01-04,DRI,46.889998999999996
118742,2011-01-04,DTE,45.700001
118743,2011-01-04,DUK,17.859982000000002
118744,2011-01-04,DVA,69.629997
118745,2011-01-04,DVN,79.339996
118746,2011-01-04,EA,16.389999
118747,2011-01-04,EBAY,28.88
118748,2011-01-04,ECL,50.560001
118749,2011-01-04,ED,49.549999
118750,2011-01-04,EFX,36.240002000000004
118751,2011-01-04,EIX,38.799999
118752,2011-01-04,EL,80.709999
118753,2011-01-04,EMN,85.550003
118754,2011-01-04,EMR,57.209998999999996
118755,2011-01-04,ENDP,35.880001
118756,2011-01-04,EOG,93.08000200000001
118757,2011-01-04,EQIX,84.019997
118758,2011-01-04,EQR,52.540001000000004
118759,2011-01-04,EQT,45.470001
118760,2011-01-04,ES,32.040001000000004
118761,2011-01-04,ESRX,56.360001000000004
118762,2011-01-04,ESS,118.540001
118763,2011-01-04,ETFC,16.389999
118764,2011-01-04,ETN,103.720001
118765,2011-01-04,ETR,72.139999
118766,2011-01-04,EW,79.400002
118767,2011-01-04,EXC,42.0
118768,2011-01-04,EXPD,55.330002
118769,2011-01-04,EXPE,24.99
118770,2011-01-04,EXR,17.940001000000002
118771,2011-01-04,F,17.389999
118772,2011-01-04,FAST,60.75
118773,2011-01-04,FCX,119.400002
118774,2011-01-04,FDX,93.379997
118775,2011-01-04,FE,37.669998
118776,2011-01-04,FFIV,135.190002
118777,2011-01-04,FIS,28.120001000000002
118778,2011-01-04,FISV,59.290001000000004
118779,2011-01-04,FITB,14.75
118780,2011-01-04,FL,19.799999
118781,2011-01-04,FLIR,29.58
118782,2011-01-04,FLR,66.550003
118783,2011-01-04,FLS,121.990002
118784,2011-01-04,FMC,80.730003
118785,2011-01-04,FOX,16.410004
118786,2011-01-04,FOXA,14.680001999999998
118787,2011-01-04,FRT,79.940002
118788,2011-01-04,FSLR,133.5
118789,2011-01-04,FTI,87.83000200000001
118790,2011-01-04,FTR,9.75
